callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
EVA010,,89907c,,,RCTP,CYVR,2020-03-31 15:59:46+00:00,2020-04-01 02:12:35+00:00,2020-04-01 00:00:00+00:00,25.09117126464844,121.2632242838542,304.8,49.19178771972656,-123.08384821965151,304.8
BAW28,BA28,40621c,G-STBB,B77W,VHHH,EGLL,2020-03-31 16:01:45+00:00,2020-04-01 04:20:37+00:00,2020-04-01 00:00:00+00:00,22.300048828125,113.9098455255682,0.0,51.477511131157314,-0.4862213134765625,-68.58
UAL2775,,a2cb14,N27959,B789,EGLL,KHHR,2020-03-31 16:04:33+00:00,2020-04-01 02:51:47+00:00,2020-04-01 00:00:00+00:00,51.46481323242188,-0.444872057115731,-304.8,33.939834594726555,-118.3585155253508,160.02
KLM856,,4851b1,PH-BHF,B789,RKSI,EHAM,2020-03-31 16:06:24+00:00,2020-04-01 03:15:09+00:00,2020-04-01 00:00:00+00:00,37.50774318889036,126.4181253184443,304.8,52.29519653320312,4.753036499023438,-114.3
CPA251,CX251,780220,B-KPI,B77W,VHHH,EGLL,2020-03-31 16:08:04+00:00,2020-04-01 04:31:29+00:00,2020-04-01 00:00:00+00:00,22.30154781018273,113.91448974609379,0.0,51.477511131157314,-0.4850006103515625,-83.82000000000002
JAL11,,86e430,JA863J,B789,KDFW,RJTT,2020-03-31 16:08:10+00:00,2020-04-01 05:26:31+00:00,2020-04-01 00:00:00+00:00,32.92369777873411,-97.03001684072063,304.8,35.47611042604608,139.82854964885308,495.3
QTR988,,06a2b8,,,,YSSY,2020-03-31 16:09:48+00:00,2020-04-01 06:01:10+00:00,2020-04-01 00:00:00+00:00,25.5191453836732,51.96849319170106,3352.8,-33.99183887546349,151.1876678466797,144.78
AYY151,,3c7dc5,D-AONE,CL64,,EGBB,2020-03-31 16:10:43+00:00,2020-04-01 06:22:38+00:00,2020-04-01 00:00:00+00:00,12.76504257978019,101.16283215974511,4876.8,52.431319931806144,-1.7228131975446102,129.54
MSQT734,,a50bc1,N424PA,,KDVT,KDVT,2020-03-31 16:11:43+00:00,2020-04-01 00:00:43+00:00,2020-04-01 00:00:00+00:00,33.68789931475106,-112.0783424377441,304.8,33.6869682699947,-112.093677520752,457.2
CKS258,,aa781f,N774CK,,VHHH,PANC,2020-03-31 16:12:14+00:00,2020-04-01 01:07:43+00:00,2020-04-01 00:00:00+00:00,22.30294437731727,113.9188130696615,-304.8,61.16782495530985,-150.0165812174479,-83.82000000000002
VIR207,VS207,4072ea,,,VHHH,EGLL,2020-03-31 16:14:45+00:00,2020-04-01 04:27:44+00:00,2020-04-01 00:00:00+00:00,22.30101013183594,113.912841796875,0.0,51.47749328613281,-0.4906731682854684,-53.34
CPA105,,78022e,B-KPO,B77W,VHHH,YMML,2020-03-31 16:16:23+00:00,2020-04-01 00:47:44+00:00,2020-04-01 00:00:00+00:00,22.30087280273438,113.9125421697443,0.0,-37.695767677436436,144.8428543754246,137.16
UAE9843,,8963a2,A6-EFO,B77L,VHHH,OMDB,2020-03-31 16:18:07+00:00,2020-04-01 00:22:57+00:00,2020-04-01 00:00:00+00:00,22.30261851165254,113.91789754231769,-304.8,25.25705337524414,55.35194396972656,7.62
FDX5170,,abcf58,N860FD,B77L,RJBB,EBLG,2020-03-31 16:20:14+00:00,2020-04-01 10:40:39+00:00,2020-04-01 00:00:00+00:00,34.461502075195305,135.250835807956,304.8,50.63456726074219,5.439605712890625,99.06
UPS108,,a3f579,N354UP,B763,PANC,,2020-03-31 16:21:47+00:00,2020-04-01 02:42:53+00:00,2020-04-01 00:00:00+00:00,61.1789509401483,-150.0029500325521,-304.8,33.116237834348524,129.5130017338967,9151.62
ANA101,NH101,867fa4,JA733A,B77W,KIAD,RJTT,2020-03-31 16:23:08+00:00,2020-04-01 06:11:57+00:00,2020-04-01 00:00:00+00:00,38.94708251953125,-77.45964382005775,0.0,35.48807435116525,139.8417566177693,480.06
GEC8170,LH8170,3c70c5,D-ALFE,B77L,EDDF,KATL,2020-03-31 16:24:10+00:00,2020-04-01 01:23:39+00:00,2020-04-01 00:00:00+00:00,50.04053665419756,8.547548861116976,-304.8,33.63189697265625,-84.40885582748723,396.24
NKS327,,a8b56f,N660NK,A321,KBWI,KLAX,2020-03-31 16:25:14+00:00,2020-04-01 00:29:58+00:00,2020-04-01 00:00:00+00:00,39.17482537738347,-76.69500732421875,304.8,33.93783827959481,-118.3782005310059,60.96
N36NE,,a40b24,N36NE,B763,PANC,ZGSZ,2020-03-31 16:28:19+00:00,2020-04-01 04:18:22+00:00,2020-04-01 00:00:00+00:00,61.17887878417969,-150.00291006905692,-304.8,22.576066356594282,113.84506225585942,304.8
N730CJ,,a9cb46,N730CJ,H25C,KSTS,KFLL,2020-03-31 16:29:12+00:00,2020-04-01 02:13:58+00:00,2020-04-01 00:00:00+00:00,38.53198552535752,-122.86322021484379,304.8,26.0611530885858,-80.00038146972656,640.08
FDX9831,,ac1e56,N880FD,B77L,LFPG,VHHH,2020-03-31 16:31:52+00:00,2020-04-01 04:34:27+00:00,2020-04-01 00:00:00+00:00,49.022811631024894,2.552297491776315,0.0,22.30064392089844,113.9116932262074,-45.72
QTR859,,06a078,A7-BAK,B77W,RKSI,OTHH,2020-03-31 16:35:04+00:00,2020-04-01 02:32:11+00:00,2020-04-01 00:00:00+00:00,37.49889826370498,126.4260068147079,304.8,25.25234985351562,51.60675048828125,22.86
FDX90,,ac50fa,N893FD,,,,2020-03-31 16:35:53+00:00,2020-04-01 04:25:36+00:00,2020-04-01 00:00:00+00:00,32.939254760742195,130.35673828125,9448.8,35.70240085407839,-91.42161917179186,6880.8600000000015
CAL5239,,899103,B-18717,B744,PANC,RCTP,2020-03-31 16:43:36+00:00,2020-04-01 02:45:41+00:00,2020-04-01 00:00:00+00:00,61.18044061175847,-150.0037638346354,-304.8,25.06672668457031,121.23092651367192,-22.86
AIC124,,800732,VT-ANL,B788,EDDF,VABB,2020-03-31 16:47:17+00:00,2020-04-01 00:07:35+00:00,2020-04-01 00:00:00+00:00,50.04677465406515,8.57976552602407,0.0,19.08883666992188,72.8780038016183,53.34
KAL530,KE530,71c226,HL8226,B77L,EDDF,RKSI,2020-03-31 16:47:58+00:00,2020-04-01 02:50:26+00:00,2020-04-01 00:00:00+00:00,50.02800750732422,8.569317867881372,-304.8,37.31716918945312,126.58762830369021,800.1
AEA458,,34530c,EC-MNS,B788,LEMD,ZGSZ,2020-03-31 16:48:12+00:00,2020-04-01 05:17:20+00:00,2020-04-01 00:00:00+00:00,40.59365844726562,-3.557373046875,1524.0,22.58921813964844,113.83788507634941,220.98
CSN305,CZ305,7813f9,,,,NZAA,2020-03-31 16:51:11+00:00,2020-04-01 02:58:29+00:00,2020-04-01 00:00:00+00:00,23.14430236816406,113.134110884233,5181.6,-37.0031634831833,174.8182744565217,60.96
GIA088,,8a03a6,PK-GIC,B77W,,EHAM,2020-03-31 16:51:28+00:00,2020-04-01 06:07:26+00:00,2020-04-01 00:00:00+00:00,-2.6077632580773407,104.1700428929822,9753.6,52.31313543804621,4.766850062779018,-91.44
FIN123,,461f57,,,EFHK,,2020-03-31 16:54:21+00:00,2020-04-01 00:07:43+00:00,2020-04-01 00:00:00+00:00,60.31476974487305,24.949690720130658,0.0,16.499267578125,73.52807295949836,8237.220000000001
